run,execution_time,hiddensize,batchsize,learningrate,history,activation,nlayers,rmse_train,rmse_val,mae_train,mae_val
70,47390.01698064804,"[128, 256]",128,1e-05,0,<class 'torch.nn.modules.activation.ReLU'>,2,1.9129184484481812,2.077202320098877,1.3982510566711426,1.4666130542755127
70,47736.78192234039,"[128, 128, 16]",128,0.001,1,<class 'torch.nn.modules.activation.ReLU'>,3,1.039799451828003,2.094620943069458,0.6915046572685242,1.3965764045715332
70,47824.02067780495,"[64, 256]",256,0.0001,1,<class 'torch.nn.modules.activation.ReLU'>,2,1.5566794872283936,1.906399130821228,1.0856778621673584,1.2979729175567627
70,47884.34410071373,"[128, 256]",64,0.001,2,<class 'torch.nn.modules.activation.ReLU'>,2,1.1093082427978516,2.02901554107666,0.7490948438644409,1.380927324295044
70,48161.001897096634,"[64, 16, 256]",128,0.001,0,<class 'torch.nn.modules.activation.ReLU'>,3,1.298879623413086,2.013715982437134,0.88688725233078,1.331892728805542
70,48515.3549246788,"[16, 128, 128]",256,0.001,2,<class 'torch.nn.modules.activation.ReLU'>,3,1.132462739944458,2.2106409072875977,0.7712008357048035,1.4811404943466187
70,48536.141382455826,"[16, 128, 128]",256,0.005,1,<class 'torch.nn.modules.activation.ReLU'>,3,0.6043654084205627,2.416137933731079,0.41918015480041504,1.5917317867279053
70,48676.31721019745,"[256, 16, 128]",128,0.001,1,<class 'torch.nn.modules.activation.ReLU'>,3,1.110001802444458,1.9887049198150635,0.748160183429718,1.2977995872497559
70,49008.596962213516,"[128, 256, 16]",128,1e-05,0,<class 'torch.nn.modules.activation.ReLU'>,3,1.8864389657974243,2.0515685081481934,1.3722670078277588,1.439577341079712
70,49173.92899489403,"[128, 128, 64]",256,1e-05,2,<class 'torch.nn.modules.activation.ReLU'>,3,1.8244361877441406,2.001770496368408,1.3175342082977295,1.398803949356079
70,49201.89885187149,"[256, 128, 64]",128,1e-05,1,<class 'torch.nn.modules.activation.ReLU'>,3,1.812228798866272,1.9927387237548828,1.303670883178711,1.3795149326324463
70,49300.1059923172,"[256, 256]",64,0.01,1,<class 'torch.nn.modules.activation.ReLU'>,2,0.7993525862693787,2.173602819442749,0.5383034944534302,1.38620126247406
70,49563.89655351639,"[128, 128, 256]",16,0.005,0,<class 'torch.nn.modules.activation.ReLU'>,3,1.4425815343856812,1.9658257961273193,0.9877662658691406,1.3006789684295654
70,49573.9770553112,"[128, 256, 16]",256,1e-05,0,<class 'torch.nn.modules.activation.ReLU'>,3,1.8364448547363281,2.0084068775177,1.3261611461639404,1.397833228111267
70,49841.0303132534,"[256, 256, 16]",64,0.001,1,<class 'torch.nn.modules.activation.ReLU'>,3,0.8768466711044312,2.1558644771575928,0.5720471739768982,1.3879725933074951
70,49984.607060194016,"[256, 256, 16]",64,0.01,2,<class 'torch.nn.modules.activation.ReLU'>,3,0.6242059469223022,2.2322211265563965,0.4186252951622009,1.4281840324401855
70,50000.89289045334,"[128, 256, 256]",16,0.0001,2,<class 'torch.nn.modules.activation.ReLU'>,3,1.5272258520126343,1.906956434249878,1.0606430768966675,1.2984845638275146
70,50030.10915899277,"[64, 128, 256]",256,0.0001,2,<class 'torch.nn.modules.activation.ReLU'>,3,1.3721132278442383,1.925106406211853,0.9369133114814758,1.297529935836792
70,50320.58830356598,"[256, 256, 256]",64,0.001,2,<class 'torch.nn.modules.activation.ReLU'>,3,0.40617212653160095,2.278594970703125,0.26650357246398926,1.5009000301361084
