"PAR";"TAir";"VPD";"Precip";"CO2";"fAPAR";"GPPobs";"ETobs";"DOY"
19,0073952;13,322;0,266;0;380;0,8039802775;6,298;1,758;244
23,6391264;12,275;0,317;0,1;380;0,8039802775;5,886;1,514;245
22,8237696;11,854;0,247;0;380;0,8039802775;6;1,421;246
10,4024736;10,602;0,122;0;380;0,8039802775;3,79;0,924;247
23,7005568;9,594;0,378;0,3;380;0,8039802775;6,295;1,709;248
23,3734464;6,542;0,286;0;380;0,8039802775;5,605;1,409;249
25,436592;6,672;0,365;0;380;0,8039802775;4,885;1,354;250
28,6033248;8,651;0,41;0;380;0,8039802775;6,248;1,564;251
4,7754144;9,39;0,139;0;380;0,8039802775;2,58;0,782;252
20,9427552;11,631;0,267;4,8;380;0,8039802775;5,445;1,465;253
25,0052832;10,784;0,323;0,1;380;0,8039802775;5,302;1,643;254
14,7822624;8,484;0,172;0;380;0,8039802775;4,232;1,432;255
15,6205152;8,061;0,187;3,7;380;0,8039802775;4,828;1,155;256
18,5974272;7,056;0,2;0,1;380;0,8039802775;4,266;1,194;257
20,2571712;7,17;0,228;0,2;380;0,8039802775;5,103;1,292;258
24,3393984;5,846;0,3;0,7;380;0,8039802775;4,653;1,319;259
22,869216;6,375;0,293;0;380;0,8039802775;4,272;1,192;260
16,963776;7,738;0,273;0;380;0,8039802775;4,2;1,143;261
24,3841536;8,728;0,302;0;380;0,8039802775;4,459;1,201;262
23,4468864;8,232;0,276;0;380;0,8039802775;4,386;0,995;263
7,8426144;5,832;0,05;0;380;0,8039802775;2,604;0,241;264
23,5296576;7,19;0,313;0;380;0,8039802775;4,184;1,075;265
22,33872;9,14;0,429;0;380;0,8039802775;3,791;1,064;266
22,2097248;9,426;0,401;0;380;0,8039802775;3,602;1,013;267
18,4464864;8,305;0,225;0;380;0,8039802775;3,544;0,776;268
14,5275552;9,764;0,221;0;380;0,8039802775;3,09;0,762;269
21,2121504;7,847;0,317;0;380;0,8039802775;3,781;1,007;270
10,0662048;7,44;0,246;0;380;0,8039802775;2,846;0,571;271
19,1059776;8,501;0,278;0;380;0,8039802775;3,428;0,908;272
5,5972512;9,611;0,094;0;380;0,8039802775;1,886;0,319;273
10,232352;12,769;0,27;1,1;380;0,8039802775;2,873;0,734;274
17,4501216;10,512;0,359;0;380;0,8039802775;3,626;0,769;275
8,3563488;10,842;0,281;0;380;0,8039802775;2,636;0,548;276
2,945808;10,995;0,065;0,2;380;0,8039802775;0,977;0,19;277
2,7344736;11,154;0,016;7,8;380;0,8039802775;0,66;0,231;278
4,9620384;9,406;0,038;1,3;380;0,8039802775;1,489;0,33;279
4,0570848;9,881;0,05;0;380;0,8039802775;1,457;0,234;280
11,8673856;10,013;0,131;0;380;0,8039802775;3,042;0,605;281
3,9057984;10,051;0,127;0;380;0,8039802775;1,523;0,335;282
10,714896;10,676;0,229;0,1;380;0,8039802775;2,815;0,606;283
3,9129696;5,385;0,124;0,1;380;0,8039802775;1,43;0,276;284
2,2964256;6,873;0,186;0,4;380;0,8039802775;1,014;0,354;285
1,907712;8,286;0,17;0;380;0,8039802775;0,774;0,316;286
3,7927872;9,94;0,049;7,6;380;0,8039802775;1,202;0,244;287
3,1822848;8,421;0,037;13,5;380;0,8039802775;1,122;0,106;288
2,7996192;7,119;0,07;0,2;380;0,8039802775;1,226;0,222;289
1,9230048;7,793;0,044;0;380;0,8039802775;0,769;0,145;290
9,4150944;8,094;0,214;0;380;0,8039802775;2,568;0,495;291
2,8480032;7,739;0,175;0;380;0,8039802775;1,444;0,457;292
2,7192672;7,816;0,136;0,2;380;0,8039802775;1,4;0,328;293
2,2747392;7,892;0,071;0,2;380;0,8039802775;1,148;0,304;294
1,2007872;7,726;0,036;0,1;380;0,8039802775;0,574;0,08;295
0,62208;7,509;0,06;0,2;380;0,8039802775;0,27;0,037;296
8,1925344;5,551;0,079;2,9;380;0,8039802775;1,973;0,353;297
1,6873056;8,907;0,048;2,7;380;0,8039802775;0,565;0,192;298
2,4509952;7,309;0,063;8,5;380;0,8039802775;0,788;0,115;299
3,2345568;1,93;0,084;2,4;380;0,8039802775;1,049;0,257;300
3,0904416;1,66;0,07;0,4;380;0,8039802775;1,104;0,184;301
1,9766592;-1,19;0,073;1,3;380;0,8039802775;0,5;0,345;302
3,7573632;-1,682;0,093;0;380;0,8039802775;0,559;0,253;303
1,4858208;-0,737;0,035;5,4;380;0,8039802775;0,387;0,129;304
3,2984928;5,204;0,053;20;380;0,8039802775;0,731;0,123;305
2,7149472;6,841;0,037;3,3;380;0,8039802775;0,791;0,048;306
0,8266752;6,124;0,011;1,5;380;0,8039802775;0,306;0,145;307
2,05416;5,03;0,045;2,7;380;0,8039802775;0,562;0,194;308
0,5582304;5,847;0,064;0,1;380;0,8039802775;0,272;0,184;309
0,3362688;7,686;0,011;10,3;380;0,8039802775;0,131;0,122;310
1,4585184;5,564;0,047;35,6;380;0,8039802775;0,413;0,035;311
2,1477312;4,594;0,04;2;380;0,8039802775;0,737;0,215;312
0,1975968;4,798;0,032;0,4;380;0,8039802775;0,083;0,193;313
1,029456;6,075;0,034;5,5;380;0,8039802775;0,387;0,107;314
0,9237888;3,196;0,011;2,5;380;0,8039802775;0,329;0,149;315
2,6905824;2,084;0,031;0,1;380;0,8039802775;0,62;0,143;316
0,7472736;4,479;0,009;0,5;380;0,8039802775;0,275;0,136;317
0,5238432;4,121;0,042;0,3;380;0,8039802775;0,255;0,109;318
0,3738528;4,606;0,016;12,1;380;0,8039802775;0,121;-0,027;319
0,5245344;3,29;0,032;11,4;380;0,8039802775;0,153;0;320
