run,execution_time,hiddensize,batchsize,learningrate,history,activation,nlayers,featuresize,rmse_train,rmse_val,mae_train,mae_val
70,37016.13926243782,[16],256,0.0001,1,<class 'torch.nn.modules.activation.ReLU'>,1,10,1.5400298833847046,1.9247146844863892,1.1525676250457764,1.3852989673614502
70,37041.35479712486,[256],64,0.001,1,<class 'torch.nn.modules.activation.ReLU'>,1,7,1.227276086807251,1.8582041263580322,0.8813189268112183,1.3529542684555054
70,37088.048682928085,"[256, 64]",8,0.005,0,<class 'torch.nn.modules.activation.ReLU'>,2,10,1.3877118825912476,1.782253623008728,1.0210092067718506,1.2999308109283447
70,37358.84612131119,"[64, 32]",128,0.001,1,<class 'torch.nn.modules.activation.ReLU'>,2,5,1.355649709701538,2.013523578643799,0.9906589388847351,1.4301940202713013
70,37450.15988612175,"[8, 32, 32]",128,0.005,0,<class 'torch.nn.modules.activation.ReLU'>,3,10,1.2711819410324097,1.9375320672988892,0.9394615292549133,1.4021775722503662
70,37559.28272438049,"[32, 256]",64,0.005,0,<class 'torch.nn.modules.activation.ReLU'>,2,10,1.2651824951171875,2.1618473529815674,0.9283539652824402,1.5522959232330322
70,37711.89946079254,"[32, 64]",256,0.001,0,<class 'torch.nn.modules.activation.ReLU'>,2,7,1.18027663230896,2.0038065910339355,0.8568418622016907,1.4420289993286133
70,37789.862112760544,"[32, 32, 256]",32,0.0001,0,<class 'torch.nn.modules.activation.ReLU'>,3,5,1.5658140182495117,1.9635703563690186,1.1738477945327759,1.441408634185791
70,37807.93577814102,"[32, 128]",128,0.005,0,<class 'torch.nn.modules.activation.ReLU'>,2,5,1.182371735572815,2.122145891189575,0.8745902180671692,1.514627456665039
70,37809.816284418106,"[8, 128, 64]",32,0.001,1,<class 'torch.nn.modules.activation.ReLU'>,3,10,1.3275333642959595,2.0019259452819824,0.9791719317436218,1.4394633769989014
70,37849.33664274216,"[64, 256]",16,0.01,2,<class 'torch.nn.modules.activation.ReLU'>,2,7,1.3040107488632202,2.0888724327087402,0.9612109065055847,1.5305981636047363
70,37895.97133898735,"[128, 128, 16]",16,0.001,0,<class 'torch.nn.modules.activation.ReLU'>,3,10,1.3107465505599976,2.072200298309326,0.9566217660903931,1.4911259412765503
70,37934.20969200134,"[128, 256]",64,0.0001,0,<class 'torch.nn.modules.activation.ReLU'>,2,7,1.3598474264144897,1.871316909790039,1.0023666620254517,1.3688081502914429
70,38032.718264102936,"[16, 8, 32]",256,0.005,0,<class 'torch.nn.modules.activation.ReLU'>,3,7,1.2305947542190552,2.0635902881622314,0.8999330401420593,1.5010608434677124
70,38108.501551151276,"[8, 32]",256,0.001,2,<class 'torch.nn.modules.activation.ReLU'>,2,5,1.423831582069397,1.9059091806411743,1.0480995178222656,1.3838310241699219
70,38129.89036464691,"[32, 8, 8]",128,0.0001,2,<class 'torch.nn.modules.activation.ReLU'>,3,10,1.4946365356445312,1.9115873575210571,1.1093580722808838,1.3780338764190674
70,38152.56201338768,"[16, 256, 64]",16,0.0001,0,<class 'torch.nn.modules.activation.ReLU'>,3,10,1.481529951095581,1.9111305475234985,1.0959984064102173,1.382879376411438
70,38215.90813064575,"[8, 16, 64]",256,0.005,0,<class 'torch.nn.modules.activation.ReLU'>,3,7,1.2088372707366943,2.0486817359924316,0.8867090344429016,1.45761239528656
70,38252.57048344612,[128],256,0.005,1,<class 'torch.nn.modules.activation.ReLU'>,1,10,1.2127912044525146,2.0631678104400635,0.8916051983833313,1.4695005416870117
