run,execution_time,hiddensize,batchsize,learningrate,history,rmse_train,rmse_val,mae_train,mae_val
47,149.54625415802002,64,512,0.005,1,0.23934680223464966,0.33833539485931396,0.15695877373218536,0.22093939781188965
37,149.64524507522583,128,256,0.01,2,0.22434403002262115,0.34726476669311523,0.1488991230726242,0.2289613038301468
29,150.78380727767944,256,64,0.001,0,0.3262891173362732,0.3474713861942291,0.2217208594083786,0.2334868460893631
25,152.6269383430481,256,8,0.01,2,0.2902351915836334,0.34300729632377625,0.19424176216125488,0.22716127336025238
16,155.00267148017883,128,256,0.005,1,0.24564319849014282,0.3331802189350128,0.16023044288158417,0.2160647064447403
10,161.7521734237671,128,512,0.01,0,0.21629180014133453,0.34139177203178406,0.1428803652524948,0.22375281155109406
3,162.2248179912567,128,256,0.01,1,0.22720162570476532,0.3369455337524414,0.15029413998126984,0.22092251479625702
27,162.64082980155945,256,128,0.001,0,0.3048937916755676,0.3422427475452423,0.20066189765930176,0.2258317917585373
14,172.5652003288269,256,128,0.005,2,0.25326600670814514,0.3309187591075897,0.166978120803833,0.21742011606693268
0,185.13085770606995,256,64,0.001,2,0.31731653213500977,0.351513147354126,0.21176403760910034,0.23456591367721558
41,186.87935376167297,256,256,0.05,1,0.17268849909305573,0.40589022636413574,0.12432568520307541,0.2775050103664398
6,187.89484333992004,128,512,0.05,1,0.15587978065013885,0.42031750082969666,0.10884532332420349,0.2814989984035492
38,197.45142078399658,256,256,0.001,1,0.285349577665329,0.3249205946922302,0.18403534591197968,0.20911657810211182
7,200.1281726360321,512,8,0.05,2,0.300554484128952,0.3657919466495514,0.21000182628631592,0.25137564539909363
31,202.77391743659973,128,512,0.01,2,0.210773766040802,0.35033297538757324,0.14051325619220734,0.2288418412208557
24,204.61307334899902,512,64,0.005,1,0.2633402645587921,0.3216111958026886,0.17318032681941986,0.20585621893405914
1,207.8761911392212,256,256,0.05,2,0.17215104401111603,0.39926043152809143,0.12739291787147522,0.27486303448677063
4,210.65054416656494,128,512,0.01,2,0.21035665273666382,0.34627458453178406,0.13924440741539001,0.2239215224981308
34,214.28734397888184,512,128,0.05,1,0.21176503598690033,0.37413105368614197,0.15220601856708527,0.26257261633872986
15,215.60907888412476,256,256,0.05,2,0.15717260539531708,0.40215030312538147,0.11003509908914566,0.27401003241539
2,216.65016961097717,512,128,0.01,0,0.23547522723674774,0.33135148882865906,0.15542642772197723,0.21752066910266876
44,217.21058082580566,512,64,0.001,1,0.3174988925457001,0.3533296287059784,0.2114090919494629,0.23592925071716309
20,221.51877069473267,512,64,0.001,0,0.3188229203224182,0.3523142337799072,0.2168026715517044,0.24019064009189606
8,222.66039848327637,512,128,0.01,1,0.23901140689849854,0.34062445163726807,0.16689155995845795,0.23026496171951294
9,225.3578119277954,512,128,0.005,1,0.25812020897865295,0.33282139897346497,0.17201364040374756,0.22054718434810638
18,225.6776990890503,512,64,0.05,1,0.2169245034456253,0.35512077808380127,0.14901815354824066,0.2393202930688858
33,237.73503255844116,512,128,0.05,2,0.20422685146331787,0.3839467465877533,0.142940953373909,0.2600240409374237
30,276.9438364505768,512,512,0.05,1,0.1545511931180954,0.39975500106811523,0.1107158362865448,0.27198922634124756
45,305.3929834365845,512,512,0.001,2,0.27159905433654785,0.3300980031490326,0.17458482086658478,0.21244464814662933
