,id,model,typ,simsfrac,finetuned_type,dropout,epochs,rmse_train,rmse_val,mae_train,mae_val,task
109,MLP9D070D,mlp,9,70,D-MLP2,0,10.0,3.0243975237378686,2.996975805271985,2.1991412413831504,2.19831127021836,finetuning
110,MLP9D070B1,mlp,9,70,B-fb,0,5000.0,0.5286241769790649,0.7405702471733093,0.31566640734672546,0.4735020995140076,finetuning
111,MLP9D0100A,mlp,9,100,A,0,,1.9351427464738016,1.5983765893123263,1.2536779313448796,1.071478247665974,finetuning
112,MLP9D0100C1,mlp,9,100,C-OLS,0,,0.5465393877887746,0.820266437629076,0.35087309891835855,0.5377492864075607,finetuning
113,MLP9D0100C2,mlp,9,100,C-NNLS,0,,0.7827072306579295,0.8339416022727157,0.48705411342740074,0.5334801055369318,finetuning
114,MLP9D0100D,mlp,9,100,D-MLP2,0,10.0,3.064306275795332,3.0231641072639377,2.235232511561449,2.224843891080133,finetuning
115,MLP9D0100B1,mlp,9,100,B-fb,0,5000.0,0.5151424407958984,0.7296165227890015,0.3051338493824005,0.462864875793457,finetuning
116,MLP10D030A,mlp,10,30,A,0,,3.0564679129239343,2.9708179630512173,2.0301708132577336,1.977194294719455,finetuning
117,MLP10D030C1,mlp,10,30,C-OLS,0,,0.5585566277406007,0.8022701584869256,0.3623939771047038,0.5276761204450477,finetuning
118,MLP10D030C2,mlp,10,30,C-NNLS,0,,0.8685398389542238,0.9357343594492594,0.5439812749197964,0.5742997970158106,finetuning
119,MLP10D030D,mlp,10,30,D-MLP2,0,10.0,3.699748748646279,3.6211894557849575,2.5493333895821424,2.529934671261182,finetuning
120,MLP10D030B1,mlp,10,30,B-fb,0,5000.0,0.5373659133911133,0.7523112297058105,0.3202471137046814,0.475796788930893,finetuning
121,MLP10D050A,mlp,10,50,A,0,,3.02777130217506,2.927478290594761,2.0513970970654603,1.9474575642923138,finetuning
122,MLP10D050C1,mlp,10,50,C-OLS,0,,0.5502049654063759,0.8211320683240091,0.357855399851388,0.5432249095834816,finetuning
123,MLP10D050C2,mlp,10,50,C-NNLS,0,,0.8817790413534746,0.9455440814482445,0.5652161050550133,0.5955346432916505,finetuning
124,MLP10D050D,mlp,10,50,D-MLP2,0,10.0,3.780681594394422,3.6953781337980764,2.6080156333801057,2.5878573411528545,finetuning
125,MLP10D050B1,mlp,10,50,B-fb,0,5000.0,0.5242033004760742,0.7496291399002075,0.3099139332771301,0.4810179769992829,finetuning
126,MLP10D070A,mlp,10,70,A,0,,2.978892663795853,2.8301852398467062,2.0162327768225654,1.86927087908508,finetuning
127,MLP10D070C1,mlp,10,70,C-OLS,0,,0.5521108841249637,0.7918656971777619,0.35617994592728613,0.5314308239530277,finetuning
128,MLP10D070C2,mlp,10,70,C-NNLS,0,,0.8881422734353009,0.9711982433927642,0.5598870146816942,0.5975730826470624,finetuning
129,MLP10D070D,mlp,10,70,D-MLP2,0,10.0,3.7986475269551967,3.70739997489069,2.614595749348431,2.5868251297185436,finetuning
130,MLP10D070B1,mlp,10,70,B-fb,0,5000.0,0.5072942972183228,0.7515267133712769,0.299048513174057,0.4801248908042908,finetuning
131,MLP10D0100A,mlp,10,100,A,0,,3.093607621599633,2.9224066472559143,2.085038637051056,1.9241256496413837,finetuning
132,MLP10D0100C1,mlp,10,100,C-OLS,0,,0.5525821264506129,0.8356711230695024,0.3579466817657136,0.5279947498223979,finetuning
133,MLP10D0100C2,mlp,10,100,C-NNLS,0,,0.9411626459844797,1.0012565673286216,0.5951940728464308,0.6247636168387894,finetuning
134,MLP10D0100D,mlp,10,100,D-MLP2,0,10.0,3.785681255747228,3.693988364591879,2.630676045119825,2.5999457611255687,finetuning
