,id,model,typ,architecture,simsfrac,finetuned_type,dropout,epochs,rmse_train,rmse_val,mae_train,mae_val,task
69,MLP8D0100FD,mlp,8,4,100,D-MLP2,0,5000.0,0.8027732370746149,0.8897303208447325,0.49978187406939484,0.5748607219642351,finetuning
70,MLP8D0100FB1,mlp,8,4,100,B-fb,0,10000.0,0.5412641763687134,0.7596434354782104,0.3173394203186035,0.4832877218723297,finetuning
71,MLP8D0100FB2,mlp,8,4,100,B-fW2,0,40000.0,1.200245976448059,1.0580499172210691,0.8385913968086243,0.7598562240600586,finetuning
72,MLP9D030FA,mlp,9,2,30,A,0,,3.1842807166147855,3.0672832654828097,2.207286325737983,2.282887075553385,finetuning
73,MLP9D030FC1,mlp,9,2,30,C-OLS,0,,0.5582373455048442,0.8228681732139289,0.35473544600817797,0.553864015151407,finetuning
74,MLP9D030FC2,mlp,9,2,30,C-NNLS,0,,0.8967645232519562,0.9457716915386033,0.5811021895813898,0.6121795508280491,finetuning
75,MLP9D030FD,mlp,9,2,30,D-MLP2,0,5000.0,0.49361922267671704,0.8342442629250735,0.2887928543102942,0.5236948808376839,finetuning
76,MLP9D030FB1,mlp,9,2,30,B-fb,0,10000.0,0.4854006171226502,0.7846022248268127,0.2953502833843231,0.5009190440177917,finetuning
77,MLP9D050FA,mlp,9,2,50,A,0,,3.7071256004024455,3.6093486254832072,2.5996544716198793,2.6841762344347933,finetuning
78,MLP9D050FC1,mlp,9,2,50,C-OLS,0,,0.5526390348489894,0.827917026311838,0.34914171634665603,0.5456439617028083,finetuning
79,MLP9D050FC2,mlp,9,2,50,C-NNLS,0,,0.9105567614014595,0.9406926962298602,0.598614180868848,0.605682177255902,finetuning
80,MLP9D050FD,mlp,9,2,50,D-MLP2,0,5000.0,0.5109305834464993,0.8430512884313991,0.3120444816619048,0.519913628980943,finetuning
81,MLP9D050FB1,mlp,9,2,50,B-fb,0,10000.0,0.4862754344940186,0.795744776725769,0.29544755816459656,0.5159175992012024,finetuning
82,MLP9D070FA,mlp,9,2,70,A,0,,3.7723742323987195,3.7395949717278247,2.6895051877657545,2.7884981861290425,finetuning
83,MLP9D070FC1,mlp,9,2,70,C-OLS,0,,0.5468363026872983,0.8598213458696471,0.3458007590981015,0.5578413785146829,finetuning
84,MLP9D070FC2,mlp,9,2,70,C-NNLS,0,,0.8799943556523335,0.9281046049116501,0.5630998715201148,0.5960962954105806,finetuning
85,MLP9D070FD,mlp,9,2,70,D-MLP2,0,5000.0,0.5236815137950662,0.8281688973889162,0.3052769137558222,0.5161627410720534,finetuning
86,MLP9D070FB1,mlp,9,2,70,B-fb,0,10000.0,0.4791284203529358,0.7634564638137817,0.2903087139129639,0.4829417169094086,finetuning
87,MLP9D0100FA,mlp,9,2,100,A,0,,3.7663573353737805,3.740462109382637,2.7549098582372853,2.848247451201071,finetuning
